metric,term,estimate,se_cluster,z_or_t,raw_p,ci_low,ci_high,n_rows,n_subjects,r2
pi_MOT_lite,group[nonathlete_high_hr]:load[4],-0.8733308943704395,0.41850279750312747,-2.0867982235266016,0.040832941126171654,-1.7091386960320376,-0.037523092708841355,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:load[5],-0.930613732242512,0.47763739314477816,-1.9483686696205353,0.055690551207655245,-1.8845214765574834,0.023294012072459402,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_low_hr]:load[2],-0.6737893671081091,0.5401032381572651,-1.2475195842316313,0.2166829754429192,-1.7524500184772576,0.40487128426103947,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_low_hr]:load[3],-0.7574812354424146,0.5963443588336235,-1.270207765399098,0.2085387265822799,-1.948463160924768,0.43350069003993863,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_low_hr]:load[4],-0.6473307807047017,0.5713874060755283,-1.132910480388038,0.26141352353861297,-1.7884702297559147,0.49380866834651127,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_low_hr]:load[5],-0.6671174476848917,0.5843111948214328,-1.1417160129693642,0.25776069458610296,-1.8340674851606003,0.499832589790817,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise1]:load[2],-0.9712314019152573,0.42947608847449054,-2.2614330063522154,0.027085068319775862,-1.8289543789555802,-0.11350842487493418,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise1]:load[3],-0.7073749891571206,0.3753922073262448,-1.884362475703597,0.06398896300012455,-1.4570849969233146,0.042335018609073294,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise1]:load[4],-0.3963847188042376,0.41436797628504163,-0.9566007546190456,0.342313267633766,-1.223934712266773,0.43116527465829774,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise1]:load[5],-0.5373718227879125,0.505292221820921,-1.0634872249792136,0.2914960904730743,-1.5465100738020952,0.47176642822627013,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise2]:load[2],-0.47926607528983917,0.47112345290562413,-1.0172834154911965,0.3127902601627249,-1.4201645826201958,0.46163243204051757,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise2]:load[3],-0.269446610171171,0.5577304636168356,-0.4831125924587876,0.6306391135007576,-1.3833112617254006,0.8444180413830586,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise2]:load[4],-0.46976168677459323,0.5050562486797571,-0.9301175621578277,0.3557518070716639,-1.478428666883195,0.5389052933340084,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise2]:load[5],-0.02483232961168973,0.4576621910465399,-0.05425908038176682,0.9568951772981786,-0.9388468405884779,0.8891821813650985,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:stage[exercise1]:load[2],1.5319041089311136,0.6026402458021861,2.5419877275072564,0.01341527379224675,0.32834842891689275,2.7354597889453345,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:stage[exercise1]:load[3],1.0586887681081305,0.5283427340598332,2.0037916675281413,0.0492636680023822,0.0035154652937625652,2.1138620709224982,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:stage[exercise1]:load[4],0.5777201640282517,0.5282975524595886,1.0935507108419615,0.2781882430665163,-0.47736290489950606,1.6328032329560094,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:stage[exercise1]:load[5],1.5272737262955824,0.607295732202347,2.5148764355002986,0.01439024936627849,0.31442039790959675,2.740127054681568,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:stage[exercise2]:load[2],0.7109655480125817,0.5621781414382877,1.264662382983503,0.21050805188697289,-0.41178172952318415,1.8337128255483477,990,66,0.0433874462849585
